date,volume_google,score_twitter,volume_twitter
1441224000,75,0.276286679063205,5
1441227600,77,-0.129049765769278,5
1441231200,83,0,0
1441234800,90,0.287508050449133,2
1441238400,81,0.485847061757923,2
1441242000,72,0.190975824947997,7
1441245600,71,0.059462567448751,1
1441249200,70,0,0
1441252800,74,0.16292211979392,1
1441256400,74,0,0
1441260000,66,0,0
1441263600,68,0.44016881344312,2
1441267200,61,0.175625275632062,1
1441270800,63,-0.1622,2
1441274400,61,0.191377992305909,1
1441278000,60,0.268050514764148,1
1441281600,58,0.567168945910287,2
1441285200,61,0,0
1441288800,59,0.3885,2
1441292400,61,0.191466666666667,3
1441296000,66,0.160424898581276,4
1441299600,63,0.325456191158757,3
1441303200,66,0.190511705132613,1
1441306800,65,0.28512644169718,5
1441310400,70,0.417999295895472,2
1441314000,73,0.3716,1
1441317600,89,0.14465,2
1441321200,81,-0.0258,1
1441324800,73,0.227459202795449,1
1441328400,69,0.1779,1
1441332000,69,0,0
1441335600,67,0.2263,1
1441339200,67,0.481574994088538,2
1441342800,67,0.166164824216397,2
1441346400,62,0.40615,2
1441350000,59,0.194054082923561,2
1441353600,58,0,0
1441357200,63,0.264619854828803,1
1441360800,60,0.17318337850918,5
1441364400,63,0.1027,1
1441368000,59,0.083930350329229,1
1441371600,60,0.178645739253108,3
1441375200,60,-0.294228309909182,4
1441378800,65,0.328458550743779,5
1441382400,61,0.462607654876582,3
1441386000,62,0.531926689820298,4
1441389600,63,0.06059588095302,1
1441393200,68,0.11665,2
1441396800,67,0.255482805131223,5
1441400400,74,0.341235378024393,4
1441404000,81,-0.1027,1
1441407600,86,0.19271894816082,1
1441411200,74,0,0
1441414800,71,0,0
1441418400,72,-0.047633333333333,3
1441422000,64,0,0
1441425600,63,0.225344048927075,3
1441429200,66,0,0
1441432800,59,0.2726457206706,1
1441436400,61,0,0
1441440000,53,0,0
1441443600,55,0.453376018803773,3
1441447200,48,0,0
1441450800,56,0.4404,1
1441454400,54,0,0
1441458000,49,0,0
1441461600,55,-0.631,1
1441465200,60,0.348025125775812,2
1441468800,64,0.125374185272505,1
1441472400,62,0.434003330877346,4
1441476000,56,0.117552595185077,8
1441479600,56,0.0582,2
1441483200,66,0.239896702904959,3
1441486800,64,0,0
1441490400,68,0.228001407825939,1
1441494000,80,-0.2942,1
1441497600,71,0,0
1441501200,71,0.369748107606731,3
1441504800,71,0,0
1441508400,63,0,0
1441512000,75,0.330215399388232,2
1441515600,68,0.196747571046835,2
1441519200,68,0,0
1441522800,65,0,0
1441526400,58,0,0
1441530000,57,-0.802,1
1441533600,54,0,0
1441537200,59,0,0
1441540800,58,0.296096535775277,3
1441544400,56,0,0
1441548000,54,0,0
1441551600,59,0.102897547206485,1
1441555200,60,0,0
1441558800,63,-0.185575,3
1441562400,64,0,0
1441566000,59,0.4939,1
1441569600,61,0.059659079095208,2
1441573200,62,0,0
1441576800,67,0.09004900323237,9
1441580400,72,0.278348485150595,6
1441584000,85,0.3802,1
1441587600,100,0,0
1441591200,73,0,0
1441594800,71,0,0
1441598400,75,0.273971336018822,1
1441602000,74,0.01960530653085,2
1441605600,67,0,0
1441609200,62,0,0
1441612800,61,0.172718342180842,3
1441616400,74,0,0
1441620000,59,0.0772,1
1441623600,62,0.4404,1
1441627200,59,0.537453978456963,2
1441630800,56,0.259959689731973,1
1441634400,59,0,0
1441638000,61,0.6144,2
1441641600,55,0.260974711071392,4
1441645200,60,-0.2023,1
1441648800,64,0,0
1441652400,62,0.065279750995021,2
1441656000,67,-0.044628420503946,2
1441659600,61,0.31532333411964,2
1441663200,72,0.292768897721225,2
1441666800,81,-0.05775,2
1441670400,73,0.110368065045838,2
1441674000,81,0.127175,4
1441677600,80,-0.5106,1
1441681200,70,0,0
1441684800,74,0.381013277341803,4
1441688400,77,-0.2023,1
1441692000,75,0,0
1441695600,65,0.0502,2
