date,ethereum
2017-11-09 02:00:00,7573
2017-11-10 02:00:00,6015
2017-11-11 02:00:00,4742
2017-11-12 02:00:00,6848
2017-11-13 02:00:00,6542
2017-11-14 02:00:00,7666
2017-11-15 02:00:00,6956
2017-11-16 02:00:00,5776
2017-11-17 02:00:00,5769
2017-11-18 02:00:00,5044
2017-11-19 02:00:00,5372
2017-11-20 02:00:00,7082
2017-11-21 02:00:00,7676
2017-11-22 02:00:00,7421
2017-11-23 02:00:00,8511
2017-11-24 02:00:00,7984
2017-11-25 02:00:00,7761
2017-11-26 02:00:00,8653
2017-11-27 02:00:00,13638
2017-11-28 02:00:00,13703
2017-11-29 02:00:00,18438
2017-11-30 02:00:00,14850
2017-12-01 02:00:00,11187
2017-12-02 02:00:00,9662
2017-12-03 02:00:00,10086
2017-12-04 02:00:00,13371
2017-12-05 02:00:00,13148
2017-12-06 02:00:00,14076
2017-12-07 02:00:00,18683
2017-12-08 02:00:00,17714
2017-12-09 02:00:00,14021
2017-12-10 02:00:00,13410
2017-12-11 02:00:00,16653
2017-12-12 02:00:00,20202
2017-12-13 02:00:00,20895
2017-12-14 02:00:00,16677
2017-12-15 02:00:00,13704
2017-12-16 02:00:00,12598
2017-12-17 02:00:00,13252
2017-12-18 02:00:00,15059
2017-12-19 02:00:00,16558
2017-12-20 02:00:00,14233
2017-12-21 02:00:00,12161
2017-12-22 02:00:00,11424
2017-12-23 02:00:00,9914
2017-12-24 02:00:00,8511
2017-12-25 02:00:00,9021
2017-12-26 02:00:00,10413
2017-12-27 02:00:00,10883
2017-12-28 02:00:00,9689
2017-12-29 02:00:00,9448
2017-12-30 02:00:00,7678
2017-12-31 02:00:00,6335
2018-01-01 02:00:00,6340
2018-01-02 02:00:00,10701
2018-01-03 02:00:00,11354
2018-01-04 02:00:00,12828
2018-01-05 02:00:00,12177
2018-01-06 02:00:00,9585
2018-01-07 02:00:00,11149
2018-01-08 02:00:00,14735
2018-01-09 02:00:00,14687
2018-01-10 02:00:00,17235
