date,score_twitter,volume_gg,volume_twitter,volume_wiki
1500336000,0.1219512434046,640,40,7268
1500422400,0.10664793776887,588,43,7224
1500508800,0.17481116972293,427,96,7625
1500595200,0.146313072954402,590,39,7726
1500681600,0.186566040162997,495,37,4819
1500768000,0.043148711100279,508,34,5654
1500854400,0.058103611786215,527,10,6962
1500940800,0.039543197736917,478,30,6311
1501027200,0.127062686369063,431,41,6845
1501113600,0.144091360442464,403,55,6351
1501200000,0.116771711910515,416,38,5750
1501286400,0.101824660258148,433,52,4732
1501372800,0.045131865919953,445,23,4777
1501459200,0.121873102567423,454,30,5834
1501545600,0.105623180885163,409,30,6126
1501632000,0.117190880054263,423,36,5723
1501718400,0.138974692253193,282,37,4931
1501804800,0.134942827317711,180,47,4655
1501891200,0.136741681677606,198,23,4018
1501977600,-0.010787256840923,246,30,4288
1502064000,0.024532583510068,239,37,5673
1502150400,0.085987180325691,189,26,5993
1502236800,0.158146407023914,179,24,6157
1502323200,0.157331597287193,262,44,5968
1502409600,0.19820159157982,329,56,5744
1502496000,0.202384216921006,365,25,5275
1502582400,0.165262811159537,382,34,6012
1502668800,0.032004510741898,461,43,7819
1502755200,0.132706901564092,370,41,7317
1502841600,0.084649537855145,354,29,6869
1502928000,0.176837882414147,297,36,6894
1503014400,0.08727609172389,280,39,5845
1503100800,0.147180024704874,297,44,5049
1503187200,0.027486334521594,316,24,5316
1503273600,0.062174921831296,272,24,6881
1503360000,0.094052465220042,276,34,6585
1503446400,0.063023337664956,251,28,6507
1503532800,0.162304582528085,235,44,6302
1503619200,0.12813492117504,237,27,5707
1503705600,0.141706388506345,308,25,4521
1503792000,0.096374916457002,327,30,4667
1503878400,0.186622767323218,289,23,5670
1503964800,0.165583154845039,281,20,6964
1504051200,0.109243361578746,285,38,7311
1504137600,0.03395773937791,252,37,7334
1504224000,0.193452117826051,222,51,6903
1504310400,0.078233560902663,272,24,5675
1504396800,0.195888693731224,313,21,5857
1504483200,0.128218560307201,393,28,7302
1504569600,0.031822597500515,374,62,7473
1504656000,0.147576922873586,373,44,6227
1504742400,0.161602077755067,352,42,6203
1504828800,0.124740976886655,300,32,5360
1504915200,0.073432882511535,301,17,4100
1505001600,0.097108885521834,366,25,4240
1505088000,0.112098425240621,284,22,5318
1505174400,0.079224355798931,249,39,5651
1505260800,0.030170362721125,229,46,6421
1505347200,0.106941846570248,210,55,5547
1505433600,0.089919110221311,146,41,4940
1505520000,0.028182780009667,149,44,3743
