timestamp,average_block_utilization,block_gas_limit,block_mining_reward,block_size,blocks_per_day,difficulty,distinct_miners,fee_mining_reward,hashrate,market_cap,mining_revenue,mining_reward,new_accounts,total_ether_supply,total_gas_usage,transactions_per_day,score_twitter,volume_gg,volume_twitter,volume_wiki
1458691200,4.35348036546242,4712430.12253097,2.99359375E+022,1529.49330431871,5974,18767192186619.4,94,3.26582983315126E+019,1389293532703.91,963365981.67625,277.123148959154,3.13267207983315E+022,1363,6.376175625E+024,1225594298,31786,0.116513658283944,251,19,1795
1458777600,5.65596221517757,4712471.10588428,3.057796875E+022,1861.73725618751,6101,19800291006226.1,92,4.14097826338738E+019,1505188788528.86,872794980.244688,237.453379298382,3.21125035326339E+022,1296,6.40824671875E+024,1626133605,36947,0.124881116950544,256,23,1768
1458864000,4.58973587447795,4712447.24925816,3.040046875E+022,1621.24810418727,6066,20870514497929.8,102,4.03548918250728E+019,1574226191932.97,838631858.298125,216.82641619753,3.19301986418251E+022,1127,6.4401365625E+024,1312008358,36762,0.067826489615225,249,19,1335
1458950400,4.63835633502468,4713432.30090238,3.05440625E+022,1537.77965545529,6095,21414126560651.1,91,3.5056420511198E+019,1620682564584.46,863302686.125,216.991325636795,3.19703689205112E+022,1039,6.472071875E+024,1332524164,36646,0.082415891474134,249,10,1022
1459036800,2.89782979695206,4712437.32616606,3.029390625E+022,1260.76166060205,6046,21975891186376.4,93,1.92099077568399E+019,1641833074167.36,824393778.140625,202.410898151131,3.16499911577568E+022,1047,6.50370265625E+024,825632165,29974,0.041448701172018,227,3,1157
1459123200,4.19044439029361,4712441.49341557,3.00553125E+022,1567.66011001834,5999,21767661509121.1,93,2.63821260855868E+019,1608136382091.66,909551096.743125,225.624830586906,3.13329446260856E+022,1408,6.53500921875E+024,1184635969,33613,0.073313250588417,214,9,3924
1459209600,3.46001368179344,4712442.30748752,3.01128125E+022,1389.47121464226,6010,22513290844302.1,105,2.39127898865714E+019,1670778019602.6,921701612.241562,220.882746433394,3.14617252898866E+022,1819,6.56644703125E+024,979937403,33915,0.091847869532529,209,20,3200
1459296000,4.6416184174941,4712452.41127832,3.030296875E+022,1572.47147345791,6047,22822098814086.2,101,3.73774814230688E+019,1712185700380.86,933864679.44,220.213037140443,3.17378462314231E+022,2475,6.5981475E+024,1322684855,36767,0.036776918337219,341,14,2135
1459382400,3.81833359788404,4712482.15678459,3.016390625E+022,1405.38764324863,6021,23889448016909.5,104,2.50216632981291E+019,1769035745511.43,897277002.000313,202.614852978626,3.14139279132981E+022,2081,6.62953640625E+024,1083408441,32259,0.056133614454649,408,14,1882
1459468800,3.79176617279021,4712444.98240421,3.04721875E+022,1492.63591514554,6081,23750610169554.2,103,2.42374098938085E+019,1789817393680.18,914948516.835312,207.340032571153,3.19089249098938E+022,1102,6.66142109375E+024,1086582845,33320,0.008450110176525,313,9,1528
