timestamp,blocks-size,avg-block-size,n-transactions-per-block,median-confirmation-time,hash-rate,difficulty,miners-revenue,transaction-fees,cost-per-transaction-percent,cost-per-transaction,n-unique-addresses,n-transactions,n-transactions-total,n-transactions-excluding-popular,n-transactions-excluding-chains-longer-than-100,output-volume,estimated-transaction-volume-usd,score_twitter,volume_gg,volume_twitter,volume_wiki
1489881600,107317.198934,0.889713331325301,1633.96987951807,8.61666666666667,3925474.04529489,475705205061,2267078.8,213.24681536,0.931147935114691,8.64633832547113,512175,271239,206389361,266278,185919,6359489.42599053,251863755.760098,0.052766107111312,1917,137,14669
1489968000,107450.123614,0.977387352941176,2037.00735294118,11.95,3216051.02506088,475705205061,1948540,241.15787713,0.668188485579374,7.30124753357708,512637,277033,206666394,272808,176246,3296575.00979041,302711967.000693,0.159432992855056,1672,78,17922
1490054400,107589.56816,0.982003845070423,2028.55633802817,10.3,3357935.62910768,475705205061,2188622.5,248.6366135,0.668977729480083,7.86468274743799,541181,288055,206954449,283124,195500,6200927.72223978,338645232.715583,0.117798438621593,1612,92,16453
1490140800,107747.718917,0.982302838509317,1992.00621118012,13.3,3807236.87525589,475705205061,2248010.7,269.31219918,0.615497922619625,7.25852960623185,572753,320713,207275162,315238,206407,5359150.98782612,378214892.374555,0.040602739569207,1613,83,14885
1490227200,107890.552076,0.965088912162162,1945.07432432432,10.95,3499820.23315448,475705205061,2076531,235.99807634,0.690922090231839,7.48614696397641,537474,287871,207563033,282350,183630,2379458.03192202,311908483.334746,0.12726368058451,1601,113,14546
1490313600,108043.661082,0.869937534090909,1645.00568181818,6.75,4161948.3853729,475705205061,2189770.8,231.55050182,0.578077402898997,7.86606222002761,540389,289521,207852554,283721,180849,3876256.75352733,393959388.238278,0.172200482389851,1536,75,13225
1490400000,108168.671098,0.939924932330827,1826.87969924812,9.55,3145108.72303748,475705205061,1696707.27,182.00765156,0.556281468797659,7.27084077996146,490876,242975,208095529,238389,166144,3359560.98986217,317578894.427225,0.097696855217704,1901,89,11334
1490486400,108281.01045,0.676743084337349,1336.83734939759,7.2,3925474.04529489,475705205061,2046573.52,154.65177428,0.939616626701305,9.55510503507209,468755,221915,208317444,217800,153470,1772687.2730565,225668754.000464,0.075025346126121,1695,69,12736
1490572800,108399.935884,0.900950257575757,1759.7803030303,19.425,3121461.28902967,475705205061,1848434.4,194.84378734,0.607262620484288,8.21038915563708,459507,232291,208549735,227049,153873,2337117.33448516,314065026.072429,0.143691450850397,1650,35,13370
1490659200,108552.716861,0.985683722580645,1896.78064516129,10.7,3665352.27120909,475705205061,2192722.65,233.22176362,0.530614189381555,7.71489610853888,553956,294001,208843736,288024,202688,2332205.31071153,427464477.24102,0.110957293189997,1739,62,13970
1490745600,108687.014375,0.973170391304348,2057.47101449275,19.675,3263345.89307648,475705205061,1943117,212.93579722,0.751233894260207,7.09224807045128,534779,283931,209127667,278596,200692,1812147.84262912,268053545.277579,0.134552240340524,1654,58,13533
1490832000,108844.872591,0.962550097560976,1760.90243902439,12.2,4073274.03319987,482855238676.823,2262000,203.40448684,0.69325106797666,8.11509019181407,521047,288788,209416455,283301,189341,2164789.7447987,338050783.41293,0.160936894321891,1593,45,13812
1490918400,108974.543848,0.960527829629629,1921.5037037037,20.475,3352999.96635355,499635929816,1987418.5,217.27700693,0.449457358933013,7.93770289661773,489451,259403,209675858,253693,167372,3573848.96368438,458122200.819992,0.101643686830734,1543,98,12980
1491004800,109102.208306,0.967154984848485,1938.41666666667,21.175,3278488.85599014,499635929816,1942180.5,190.64263242,0.728672484257772,7.84465918628532,502790,255871,209931729,251056,182969,2859605.75588997,275462685.090761,0.056967172099303,1674,108,11815
1491091200,109232.443528,0.824273556962025,1545.58860759494,12.625,3924251.81247304,499635929816,2296746.6,180.73640574,0.853507251231019,9.7616053753119,501562,244203,210175932,239570,169289,4026308.73617334,279296199.77207,0.119203916333946,1661,94,11420
1491177600,109387.0221,0.878287340909091,1637.16477272727,8.18333333333333,4371318.47465352,499635929816,2669294.6,221.03918997,0.783403253302811,9.5928744718341,564024,288141,210464073,282680,179599,4163240.21378063,352832392.709037,0.172988551029362,1790,125,14614
1491264000,109509.254778,0.977861424,2048.12,11.5833333333333,3104629.59847551,499635929816,1939250.2,200.30284512,0.587951461929521,7.85227570484092,496730,256015,210720088,251099,167982,2476603.49839915,341916041.500689,0.111606891876498,1842,69,14537
1491350400,109665.885846,0.966858444444444,1954.04320987654,20.625,4023599.95962426,499635929816,2485786.8,236.29861443,0.700988193571117,8.11568718186073,577216,316555,211036643,311013,209789,2295660.84994726,366491387.360761,0.105219922597725,1765,64,13465
1491436800,109809.614344,0.977744884353742,1975.95238095238,11.5333333333333,3651044.4078072,499635929816,2391592.35,221.71976913,0.662280350123212,8.51364887593416,548639,290465,211327108,284981,191713,2045375.19459594,373394291.448953,0.097291984827511,1716,49,13169
1491523200,109967.983293,0.977586104938272,1823.84567901235,15.65,4023599.95962426,499635929816,2599338,225.14679282,0.692814402854185,9.09310225181184,542131,295463,211622571,290414,191454,5893220.1862937,387791486.371934,0.089415089419663,1827,64,13208
1491609600,110101.480134,0.974429496350365,1656.63503649635,13.65,3402674.03992916,499635929816,2143895.6,171.61302076,1.14157000721623,9.8356844495986,468193,226959,211849530,223024,156151,9838136.84090639,195546229.568523,0.21140943889906,1781,80,11200
1491696000,110248.628575,0.925461893081761,1498.65408805031,7.6,3949088.84926085,499635929816,2532236.55,168.05979031,1.18387842069717,11.0208677494048,489532,238286,212087816,234391,168049,1512371.72667516,221823326.333475,0.091728712341231,1854,92,10873
1491782400,110384.508879,0.918110162162162,1861.45945945946,15.175,3675881.444595,499635929816,2406320.7,198.63497273,0.898658723724176,9.03271518052941,548200,275496,212363312,270502,173622,2088750.28876314,276910114.560788,0.124821116050958,1934,72,13166
1491868800,110545.301805,0.962831892215569,1843.67065868263,15.55,4147785.14356328,499635929816,2769337.4,226.34667638,0.804764101136247,9.30970584813407,582103,307893,212671205,302546,193400,2024632.20661539,356178072.388229,0.052798002418891,2036,91,16999
1491955200,110684.826361,0.982567295774648,1958.4014084507,16.3,3526859.22386818,499635929816,2357939.5,212.1552116,0.753654945647706,8.79843869512386,548651,278093,212949298,273122,183991,2068435.88265545,324655762.716486,0.038227263988367,2043,47,13871
1492041600,110808.394859,0.972980299212598,1800.62204724409,13.1833333333333,3287972.00662321,517807877351.858,2072006.75,216.66765492,0.726301789138258,9.38142880835307,449521,228679,213177977,224281,152565,2143228.00545793,295378008.22586,0.074019936485518,2062,52,13786
1492128000,110946.715061,0.995109366906475,2087.8273381295,15.9166666666667,3598646.52693406,520808749422,2292003,235.48446532,0.664859951414361,8.19901334620658,558990,290208,213468185,284730,196552,2216168.37031121,357882778.187221,0.04797378513564,1987,60,12174
1492214400,111096.468465,0.991744397350993,1801.16556291391,16.1,3909321.04724491,520808749422,2416965,202.57239533,0.902678556808312,9.20635177223483,520821,271976,213740161,267026,192826,1615444.75654168,277386308.860448,0.124047624624787,1790,73,10065
1492300800,111231.871676,0.927419253424658,1450.88356164384,9.26666666666667,3779873.33044872,520808749422,2320594.4,158.85627688,0.967587853048858,11.3667456450687,429263,211829,213951990,206989,151058,1902570.09487092,248846278.470972,0.049056109882891,1567,67,11044
1492387200,111360.320211,0.930786485507246,1776.69565217391,11.8166666666667,3572756.98357482,520808749422,2278752.4,180.72834518,0.673646350613632,9.63652604718972,469209,245184,214197174,239335,162518,2451805.09494566,350736258.008662,0.130550468861551,1716,62,18666
1492473600,111499.82902,0.955539787671233,2075.96575342466,16.575,3779873.33044872,520808749422,2500974.8,220.20687325,0.722743202640894,8.55355069115117,553138,303091,214500265,296133,194014,2456420.95456165,358703371.136349,0.158706742868501,1843,68,22995
1492560000,111640.571504,0.984213174825175,2168.55944055944,11.1166666666667,3702204.70037101,520808749422,2444373.75,209.52935942,0.795967200077226,8.16253486915632,566248,310104,214810369,303579,208584,2176695.98998885,318007414.478796,0.102178493243367,1836,51,15773
1492646400,111775.980353,0.974164381294964,1939.74820143885,12.15,3598646.52693406,520808749422,2456659,229.9178721,0.702248282537719,9.44214641260046,491206,269625,215079994,264274,184431,2242157.58691625,362526871.165492,0.043121747829083,1712,50,14703
1492732800,111938.96222,0.975939323353293,1978.16766467066,14.875,4323553.74099272,520808749422,2983037.75,244.38907052,0.899135666303715,9.35638425136145,612635,330354,215410348,324844,217700,2339052.35665688,343765582.749132,0.069473829255288,1802,40,14230
1492819200,112080.051934,0.973032510344828,1853.18620689655,14.475,3753983.78708949,520808749422,2596344.05,180.34051775,1.1288198553204,9.99490594306051,530089,268712,215679060,264058,181588,1746209.31232687,237925578.037371,0.051715237436164,1700,54,11143
1492905600,112225.039487,0.947631065359477,1601.56209150327,14.3,3961100.13396339,520808749422,2732614.9,169.67309519,1.30565235808259,11.5206570483009,490003,245039,215924099,240651,172039,1577942.29954599,216214543.249806,0.132769350990456,1532,63,12071
1492992000,112344.462635,0.963089903225806,1795.73387096774,11.8,3210303.37654549,520808749422,2119150.85645,187.96137981,0.796504847753266,9.85703683643078,449880,222671,216146770,217457,150385,1940799.63446908,275563451.446159,0.138570729247728,1500,83,16047
1493078400,112487.432163,0.966010324324324,2198.56081081081,24.675,3831652.4171672,520808749422,2615123.62125,271.62738431,0.691851912531364,8.3421932556876,580200,325387,216472157,319182,215211,3246840.06083126,392344255.717493,0.182710173672443,1668,70,16503
1493164800,112636.12596,0.971854882352941,2186.08496732026,17.975,3961100.13396339,520808749422,2740621.5233125,253.84367765,0.75725084004578,8.47900685277777,606556,334471,216806628,328038,221539,2429753.95319411,374510235.060813,0.047323929129962,1802,59,14681
1493251200,112778.365803,0.967617979591837,2026.42176870748,20.25,3814281.63369607,521839702599.075,2725014.34976875,256.44731571,0.698469763883072,9.45703768500262,554691,297884,217104512,291567,191750,2636893.44726295,403324576.012845,0.085893275145152,1886,57,14889
1493337600,112913.91354,0.996674536764706,2244.63970588235,13.5,3528859.19852154,521974519553,2501502.23128571,249.68419536,0.614733573083334,8.50262129962079,582826,305271,217409783,299621,204290,2454474.32371981,422232300.36676,0.144104892909376,1981,99,13791
1493424000,113081.995204,0.971570312138728,1972.94219653179,9.86666666666667,4488916.48047225,521974519553,3119178.52111875,256.37648122,0.901246698177898,9.46079590274923,634025,341319,217751102,335709,243524,2085973.14816435,358298055.710941,0.127069421982393,1701,102,11038
1493510400,113228.751125,0.971893516556291,1864.16556291391,14.5,3918071.61012318,521974519553,2720215.54725,199.30763935,1.04485550536976,10.0304456894405,526652,281489,218032591,276157,209172,1786432.98478772,270224936.573955,0.205447711651337,1094,66,16195
1493596800,113375.364259,0.977420893333333,1965.24,14.75,3892124.1160164,521974519553,2878277.9821875,227.7488656,0.673534353683851,10.1088875450107,542847,294786,218327377,288424,193785,2509004.84642654,442436010.508574,0.184377840062279,1182,74,14544
1493683200,113530.241883,0.980238126582278,2108.61392405063,9.73333333333333,4099704.06887061,521974519553,3149553.4675875,272.67966183,0.710110783020931,9.79647179243477,609090,333161,218660538,327015,217142,2531694.30522707,459618754.830704,0.09358037386031,1467,59,17143
1493769600,113661.620278,0.995290871212121,2235.97727272727,18.575,3425069.22209443,521974519553,2760373.22542857,247.34367708,0.597603291729631,9.69134714199316,547221,295149,218955687,289205,205663,2625551.83579823,478643852.401376,0.111622064578299,1540,44,17277
