date,score_twitter,volume_twitter,volume_google
1519326000,-0.1531,1,8
1519329600,0.387132434135682,5,8
1519333200,0.333000639963447,3,7
1519336800,0.6901,1,7
1519340400,0,0,7
1519344000,0.3878,2,7
1519347600,0.411698328412803,2,7
1519351200,0.4728,1,7
1519354800,-0.0361125,5,7
1519358400,0.18573327947953,3,7
1519362000,0.35645,2,8
1519365600,0,0,8
1519369200,0.07925,2,8
1519372800,0,0,8
1519376400,0.25,1,9
1519380000,0,0,9
1519383600,0,0,8
1519387200,0.278550480935757,1,9
1519390800,-0.0516,1,8
1519394400,0.3056,2,8
1519398000,0,0,8
1519401600,-0.309670623046557,2,8
1519405200,0,0,7
1519408800,0,0,8
1519412400,0,0,7
1519416000,0.38275,2,8
1519419600,0.00495,2,7
1519423200,-0.2022,2,7
1519426800,-0.43355,2,7
1519430400,0.157947949645175,1,7
1519434000,0,0,7
1519437600,0.09035,2,7
1519441200,-0.144625,3,7
1519444800,-0.17435,2,7
1519448400,0.8885,1,7
1519452000,0,0,8
1519455600,0,0,8
1519459200,0.4404,1,8
1519462800,-0.4019,1,8
1519466400,-0.035787915259029,2,8
1519470000,0.240609134268341,1,7
1519473600,-0.130938107711436,2,7
1519477200,0,0,7
1519480800,0,0,7
1519484400,0.4215,1,8
1519488000,0.452673845376806,2,7
1519491600,0.3626,1,7
1519495200,0.4404,1,8
1519498800,0.307099653074341,2,8
1519502400,0.310925939091611,2,8
1519506000,0,0,7
1519509600,0.18595443530911,1,7
1519513200,0.0782,2,7
1519516800,0,0,8
1519520400,0,0,8
1519524000,0.349539570230721,2,8
1519527600,0,0,8
1519531200,0,0,8
1519534800,0.7351,1,8
1519538400,0.027427278882391,2,9
1519542000,0.03035546096627,1,9
1519545600,0.180544460625807,1,9
1519549200,0,0,9
1519552800,0,0,8
1519556400,0.163401074155519,1,9
1519560000,-0.5,1,10
1519563600,0,0,9
1519567200,-0.082887303853618,2,9
1519570800,0,0,10
1519574400,0.419512584537753,7,10
1519578000,0.067524512129676,2,9
1519581600,0.247066666666667,3,9
1519585200,0.21175,3,8
1519588800,0.5267,1,8
1519592400,0.465875,3,7
1519596000,0,0,7
1519599600,0.5525,1,7
1519603200,0.003427793282158,5,8
1519606800,0.1822,2,7
1519610400,0.371433333333333,3,8
1519614000,0.617355769736562,4,8
1519617600,0.4019,1,9
1519621200,0,0,9
1519624800,0.4019,1,9
1519628400,0,0,10
1519632000,-0.7165,1,12
1519635600,0.391676725632339,4,12
1519639200,0.081227242638251,1,11
1519642800,0.385320494087635,3,8
1519646400,0,0,8
1519650000,0.191344487866046,1,8
1519653600,0.292992455289649,2,9
1519657200,0.7712,1,9
1519660800,0.8482,3,8
1519664400,-0.0976,1,8
1519668000,0.1531,1,8
1519671600,0.6124,1,7
1519675200,0.439888733706561,2,7
1519678800,-0.5078,1,7
1519682400,-0.026113164371174,3,7
1519686000,0.39135,2,7
1519689600,0.69565,2,8
1519693200,0.0278,2,8
1519696800,0.20525,3,8
1519700400,-0.0191,1,8
1519704000,0.0516,1,8
1519707600,-0.03175,2,8
1519711200,0,0,8
1519714800,0,0,8
1519718400,0,0,8
1519722000,0,0,8
1519725600,0.2714,1,7
1519729200,0,0,7
1519732800,0.5106,1,7
1519736400,0.4019,1,7
1519740000,-0.012570876886548,2,7
1519743600,0,0,8
1519747200,-0.2531,4,8
1519750800,0.07427175500097,1,7
1519754400,0.8495,1,7
1519758000,0.329533333333333,4,7
1519761600,-0.004325616405933,3,7
1519765200,0,0,6
1519768800,0.9186,1,7
1519772400,0.38075,2,7
1519776000,0.501854323673708,2,7
1519779600,0.030366666666667,3,7
1519783200,0,0,7
1519786800,0.0173,1,7
1519790400,0.0476,2,7
1519794000,0.3612,1,7
1519797600,0,0,7
1519801200,-0.1027,1,8
1519804800,0,0,7
1519808400,0.8805,1,7
1519812000,0.4421,2,8
1519815600,0.071074405546029,1,7
1519819200,-0.3818,1,7
1519822800,0,0,7
1519826400,-0.151723429883298,2,7
1519830000,0.2159640030731,1,7
1519833600,0.0634,2,7
1519837200,0.062314909733572,6,6
1519840800,0.160066666666667,3,7
1519844400,-0.296,1,7
1519848000,0.7964,1,6
1519851600,0.051375,4,6
1519855200,0.084506588036701,1,7
1519858800,-0.035082553793393,4,7
1519862400,0,0,7
1519866000,0.516607168551123,3,7
1519869600,0,0,7
1519873200,-0.5627,1,6
1519876800,0.7684,1,6
1519880400,0.0258,1,6
1519884000,-0.1254,2,6
1519887600,0.065546866757889,2,7
1519891200,0.482233333333333,3,7
1519894800,0,0,7
1519898400,0,0,6
1519902000,0,0,6
1519905600,0,0,6
1519909200,0,0,9
1519912800,0.5719,1,10
1519916400,0.6701,3,10
1519920000,0.35985,2,10
1519923600,0.64655,3,10
1519927200,0.071479952142377,4,10
1519930800,-0.0694,3,9
1519934400,0.6808,1,9
1519938000,0.6124,1,9
1519941600,0.6808,1,8
1519945200,0,0,8
1519948800,0,0,8
1519952400,-0.2144,1,8
1519956000,0,0,8
1519959600,0.3612,1,8
1519963200,0.5563,1,8
1519966800,0,0,8
1519970400,0,0,8
1519974000,0.128,1,9
